good,bad
great,devil.
hate,love
heartless,heart
sickness,illness
rage,passion
discomfort,comfortable
trouble,capable
nasty,nice
mad,calm
inferior,superior
indifferent,satisfied
frightful,delightful
bitter,passionate
lazy,decent
dreary,pleasant
grief,joy
lagging,lagging_behind
discordant,harmonies
afraid,glad
ugly,nice
glaring,weakness
fear,hope
bleak,brighter
cold,warm
frigid,balmy
clumsy,clever
tense,lively
rough,tough
slack,solid
severe,mild
hasty,careful
low,high
rigid,flexible
hard,soft
