adorable,odious
aesthetic,inelegant
athletic,abeyant
attractive,uninviting
charismatic,unprepossessing
desirable,undesirable
eligible,ineligible
formal,informal
likeable,hateful
sensual,psychic
sexual,sexless
short,lengthy
suitable,unsuitable
sympathetic,unsympathetic
clean,dirty
fashionable,unfashionable
graceful,graceless
