adorable
aesthetic
athletic
attractive
charismatic
desirable
eligible
esthetic
facial
formal
likeable
sensual
sexual
short
suitable
sympathetic
clean
derwear
fashionable
graceful
hygienic
mentionable
presentable
sympathetic
