created_at	average_wce	average_ca
2019-12-01	0.12562258740485774	0.006527079587428419
2019-12-02	0.04503651426287396	-0.175071936551312
2019-12-03	0.3325115910339944	-0.1418006560838897
2019-12-04	0.1683851662194129	0.034231201338366726
2019-12-05	0.20349393987024145	0.048216505869395195
2019-12-06	-0.004232012710344533	-0.02817247494189203
2019-12-07	-0.008501821961931064	-0.218215236233269
2019-12-08	0.12036494227504654	0.05153433826026589
2019-12-09	0.04818561673719558	-0.07648996877946045
2019-12-10	0.19849034136411278	-0.21750684740717846
2019-12-11	0.35834862013182506	-0.1309237080283703
2019-12-12	0.18561453651859167	0.02015076373715892
2019-12-13	0.027346909602401617	-0.09648773537279548
2019-12-14	-0.09349040015637139	0.32555417860494
2019-12-15	0.3552890502131219	0.18065499594706938
2019-12-16	0.2028594464852735	0.07453079533274617
2019-12-17	0.027307380824758462	0.05649919969593862
2019-12-18	0.06830986750249114	-0.4576793383269116
2019-12-19	0.16312551136013734	0.14709472813111488
2019-12-20	-0.03801130337613227	-0.2556017801111482
2019-12-21	-0.004398446955245605	-0.2594905577400905
2019-12-22	0.3419206026692581	-0.7974743444335667
2019-12-23	0.08107824915919007	-0.03388487037070785
2019-12-24	0.10701757928593285	0.09499527215104714
2019-12-25	-0.07980202361567126	-0.3845646703633233
2019-12-26	0.015060876014380942	-0.056117058801995266
2019-12-27	-0.06554882226137167	0.01335883185614194
2019-12-28	0.24928807807755887	-0.07630087167224127
2019-12-29	0.12219178190597246	0.11699766387795418
2019-12-30	0.049256148645994875	-0.03962373733706274
2019-12-31	-0.07829807128798713	-0.05334947158925185
2020-01-01	0.388122187916652	0.10317568295043887
2020-01-02	0.1100370205967623	0.05167176180868547
2020-01-03	-0.05948149856961327	-0.3347510829847571
2020-01-04	-0.07985983479767074	-0.33089019243271917
2020-01-05	-0.1939596442533384	0.03883170410809056
2020-01-06	-0.19807003589123534	-0.11883487456731438
2020-01-07	0.2785656632985021	-0.038685815859296944
2020-01-08	-0.04121003970791023	-0.16001638011145483
2020-01-09	0.12251535410432007	-0.14277431338530508
2020-01-10	0.137859471789442	-0.12730567411652696
2020-01-11	0.25519547221996486	-0.031453611839079895
2020-01-12	0.07729031567903207	-0.3181325394740622
2020-01-13	0.17166960567150027	-0.0344202052543538
2020-01-14	0.22069498926572928	-0.11564520115389852
2020-01-15	-0.038593832698801823	0.1860007658906336
2020-01-16	0.20872051272251477	-0.007090893262270314
2020-01-17	0.010473666365017885	-0.1945608979111913
2020-01-18	-0.04173119186618189	-0.28153294042008253
2020-01-19	0.1841497234134776	-0.06019353374945071
2020-01-20	0.29232839672189664	-0.03401839922099996
2020-01-21	0.28562493218755697	-0.17810795325012183
2020-01-22	0.18075085639103156	0.010221100557632694
2020-01-23	0.08014615968971175	-0.11113712272447243
2020-01-24	0.03851594093353673	-0.17956581863958387
2020-01-25	0.14397068945488345	-0.37312836891337686
2020-01-26	0.09632392771776775	-0.30261981222712203
2020-01-27	0.17742170784993377	-0.1490721428736932
2020-01-28	0.20662262645786367	0.14959750646542821
2020-01-29	0.053009900469454176	0.04511046406240036
2020-01-30	0.19791935470825484	-0.4017602573612113
2020-01-31	0.05892826386960363	-0.2897665633565072
2020-02-01	-0.21479379950497837	-0.37679998062142117
2020-02-02	0.17061953048371042	0.1349550725335817
2020-02-03	0.2644461572127978	-0.029016595615222757
2020-02-04	0.17815353494658107	0.013295201065270964
2020-02-05	0.18760517568242366	0.010868710421414808
2020-02-06	0.03433371040434272	-0.25141278081487883
2020-02-07	0.06299555968437556	-0.04939273642951426
2020-02-08	0.1313732998428925	-0.13052106282013626
2020-02-09	0.2652196767384263	-0.023909017357443746
2020-02-10	0.413365203647398	-0.14355870714717375
2020-02-11	0.2859865435050378	0.051343761832606874
2020-02-12	0.27256022492919313	-0.05575148810785916
2020-02-13	0.13893251245379268	0.07873885093152586
2020-02-14	0.1421416507278225	-0.07655690733464367
2020-02-15	0.3332635156353649	-0.18353198105787527
2020-02-16	0.11287083452837081	0.14154180432260882
2020-02-17	0.046989964904987025	-0.035917608873148925
2020-02-18	0.18915303417017512	-0.08972060034371532
2020-02-19	0.10525644837635828	-0.17006227390287407
2020-02-20	0.13238040730000905	-0.09382283192805803
2020-02-21	0.2343294436214388	-0.2620527347615354
2020-02-22	-0.10494547435176686	-0.22564506510812374
2020-02-23	0.0505787183747581	-0.17256900561876423
2020-02-24	-0.08799243639002245	0.022565296840953597
2020-02-25	0.5159258599082692	0.1066100204945331
2020-02-26	0.24008854574928717	-0.1851750515771058
2020-02-27	0.22677119234538973	0.2074917277151203
2020-02-28	0.10101373936082327	-6.097978414161542e-05
2020-02-29	0.19079543430978635	-0.18286524288598155
2020-03-01	0.04355849064643882	-0.16064636655496692
2020-03-02	0.06652702384139504	-0.40242436391275804
2020-03-03	0.2768762127885201	0.05232512631301666
2020-03-04	0.24828777094622656	0.02162449288701153
2020-03-05	0.018628486900834695	-0.1549478345150988
2020-03-06	-0.19700172602276908	-0.10143813034550189
2020-03-07	0.15273887278028664	0.19085541838056375
2020-03-08	-0.10268654965904567	-0.43282929293196987
2020-03-09	-0.006181484282687512	-0.1966439019811313
2020-03-10	-0.01941242070608605	-0.22566485735446512
2020-03-11	0.014025657067458484	-0.05786254724749928
2020-03-12	0.14029684247861376	-0.19472805684101846
2020-03-13	0.04131867972098785	-0.0778778680536922
2020-03-14	-0.14257592091411914	-0.2657832920544899
2020-03-15	0.042707601412236285	-0.21420175840427086
2020-03-16	0.049896469586488745	-0.2354692398169128
2020-03-17	0.16336804770657573	0.2500825640088056
2020-03-18	-0.05647270198544214	-0.2618730186375396
2020-03-19	-0.0364801275290728	-0.22290418201082993
2020-03-20	0.0007998493489487843	-0.22288021260322627
2020-03-21	-0.012712360695609527	-0.1846858797260955
2020-03-22	-0.0552559330068632	-0.3846811902147189
2020-03-23	0.021132182290808762	-0.21076735833496757
2020-03-24	0.27121057936332127	-0.008936650735375647
2020-03-25	0.09144343573810285	-0.0790982040143784
2020-03-26	-0.04536001175657044	-0.03817777927760607
2020-03-27	0.2051361823334097	0.09397813015512509
2020-03-28	0.2750823162529772	-0.18420918998536515
2020-03-29	0.3117790950072863	0.10981405884632206
2020-03-30	0.00412289846787619	-0.19807455005418528
2020-03-31	0.1766177340170616	0.01101212701475159
2020-04-01	0.18332326966893864	-0.009636366235355808
2020-04-02	0.015025732009712932	0.07994511614812352
2020-04-03	0.014818689571072876	-0.20415500495156252
2020-04-04	0.0828016708174056	-0.5978549581428174
2020-04-05	0.16407127795180132	-0.35503780300679727
2020-04-06	0.20113875904382958	0.0627928369921849
2020-04-07	-0.0022236183786977534	-0.1911850707719648
2020-04-08	0.041498530447095616	-0.1048027905841078
2020-04-09	0.02420485921184914	0.0020589557996390597
2020-04-10	0.07159739617016199	-0.18267748378096238
2020-04-11	0.007657802613956888	0.050694112429090984
2020-04-12	-0.0339331830099269	-0.1675246540826929
2020-04-13	0.009033035759504577	-0.11947614935640555
2020-04-14	0.05760248592618759	-0.21818716367397636
2020-04-15	0.20955163887025702	-0.07557554836097873
2020-04-16	0.3534437546918846	0.025919922955870596
2020-04-17	0.10934234010383696	0.008911305339296053
2020-04-18	0.26037716452217663	0.030830815541402046
2020-04-19	0.3396738010329064	-0.2609709151442902
2020-04-20	0.11687699512906131	-0.17205287031803412
2020-04-21	0.039606098605694945	0.019039861195170957
2020-04-22	0.10793838250009294	-0.10296214498629343
2020-04-23	0.19715808699691736	-0.3231588845896574
2020-04-24	-0.04641023515818312	-0.05686783447718287
2020-04-25	-0.05025682911893737	-0.44620863937346583
2020-04-26	0.20428462494763552	-0.07376210110400444
2020-04-27	0.23479994834796933	-0.11648163806776504
2020-04-28	0.2383461015635574	-0.1334504373851424
2020-04-29	0.10949657111530184	-0.11842968772146609
2020-04-30	0.27356750964669735	-0.531862823540822
2020-05-01	0.37371872973708525	-0.025328237841074033
2020-05-02	0.09553482456110071	-0.13105928137120829
2020-05-03	0.13598595275993133	-0.12421105882321244
2020-05-04	0.1487351279796506	0.07277194717166852
2020-05-05	0.048907443748345714	-0.359246462965185
2020-05-06	0.23740220083194577	0.0015388907710810102
2020-05-07	0.08178650936342463	-0.23985631723553946
2020-05-08	0.1917165185118295	0.030926219717624874
2020-05-09	0.04043742435732057	-0.0061209070156208285
2020-05-10	-0.13068799139484547	-0.18458266075847315
2020-05-11	0.22341494895548525	-0.18332163518091626
2020-05-12	0.16651479358068869	-0.17872657084452737
2020-05-13	0.0865705712908632	-0.09790562815676417
2020-05-14	-0.028891582261566837	-0.21894368773002013
2020-05-15	0.04641777467215833	-0.12169476623507244
2020-05-16	0.25477632101525627	-0.032920434334050556
2020-05-17	0.08237359974447653	-0.18867407618876864
2020-05-18	0.10245932096175325	-0.3582457263238927
2020-05-19	0.1218447538594264	-0.08947147399693851
2020-05-20	0.13839632599029228	-0.1286392504298133
2020-05-21	0.07538021218142885	-0.24402196906517415
2020-05-22	0.009428060774297054	0.09744138101634164
2020-05-23	-0.17076372270389087	-0.2497609620524827
2020-05-24	-0.04269153264536376	-0.25586552160431786
2020-05-25	-0.014632153623911999	-0.3975162517331555
2020-05-26	0.14801857141560015	-0.006604938742872898
2020-05-27	0.12038513242498992	-0.5876352673548814
2020-05-28	-0.0050421163213887595	-0.18838960965728896
2020-05-29	0.19064747726059045	0.041389085299557045
2020-05-30	0.06474813629856754	-0.27250312282119316
2020-05-31	0.23469202261002384	-0.13003753770250995
2020-06-01	-0.12245338681884542	-0.055441258495825506
2020-06-02	-0.049928669418800954	-0.2896208107638441
2020-06-03	0.05957496920277006	0.023839305273827514
2020-06-04	-0.21459343781055093	-0.13652897254476132
2020-06-05	-0.06739752683951336	0.10818980910964342
2020-06-06	0.05600218276682705	-0.30324087873440936
2020-06-07	-0.05174051255870086	-0.16724540511977753
2020-06-08	0.045648406264466444	0.03686268736433055
2020-06-09	0.1460400255298018	0.004224146569014744
2020-06-10	0.11779207438023773	0.0606494674894349
2020-06-11	0.1525964411806622	-0.21927454491202233
2020-06-12	-0.06363794989164326	0.1013842841859077
2020-06-13	0.08150096714675492	-0.23383809946360992
2020-06-14	0.018953699109214017	-0.10366652382371064
2020-06-15	0.12756182983519443	0.03188179362855069
2020-06-16	-0.0666502475218648	-0.07881601724262133
2020-06-17	0.11571232502094049	-0.03743525155512214
2020-06-18	0.18904097240789886	0.012771696805035124
2020-06-19	0.19649565425445928	-0.2698583098717878
2020-06-20	0.11794449451611748	-0.07264195860786375
2020-06-21	0.17939925025385392	0.0643293224177905
2020-06-22	0.08087708717556526	-0.18181740729627102
2020-06-23	-0.012910415039465483	-0.28667442431104495
2020-06-24	0.15581323961248114	-0.15246582238457357
