0.21,0.08,0.14,0.21
0.26,0.07,0.12,0.13
0.23,0.10,0.14,0.09
0.20,0.12,-0.08,0.22
0.20,0.09,0.12,0.22
0.15,0.10,0.12,0.13
0.33,0.04,0.17,0.08
0.26,0.14,0.11,0.17
0.20,0.09,0.10,0.09
0.26,0.11,0.10,0.09
0.25,0.08,0.14,0.12
0.15,0.15,0.14,0.18
0.27,0.10,0.08,0.09
0.34,0.10,0.22,0.17
0.17,0.08,0.12,0.07
0.17,0.09,0.10,0.19
0.18,0.05,0.15,0.07
0.17,0.06,0.08,0.10
0.12,0.11,0.07,0.12
0.10,0.11,0.05,0.19
0.24,0.07,0.18,0.14
0.20,0.12,0.13,0.06
0.20,0.08,0.09,0.13
0.25,0.07,0.10,0.09
0.19,0.07,0.16,0.06
0.20,0.09,0.10,0.06
0.11,0.09,0.03,0.07
0.12,0.04,0.04,0.07
0.19,0.02,0.05,0.08
0.17,0.05,0.01,0.09
0.20,0.10,0.06,0.09
0.13,0.06,0.10,0.06
0.17,0.09,0.10,0.10
0.19,0.05,0.08,0.09
0.15,0.11,0.09,0.10
0.25,0.08,0.09,0.08
0.18,0.12,0.16,0.11
0.24,0.08,0.05,0.08
0.18,0.04,0.09,0.12
0.19,0.06,0.13,0.10
0.23,0.07,0.14,0.05
0.21,0.09,0.11,0.08
0.23,0.03,0.09,0.05
0.22,0.04,0.10,0.10
0.25,0.07,0.12,0.09
0.23,0.05,0.17,0.10
0.19,0.06,0.06,0.05
0.18,0.08,0.01,0.14
0.17,0.06,0.08,0.08
0.25,0.07,0.12,0.11
0.13,0.05,0.14,0.07
0.18,0.07,0.07,0.05
0.21,0.10,0.10,0.13
0.17,0.08,0.10,0.12
0.23,0.06,0.12,0.07
0.20,0.13,-0.03,0.15
0.17,0.09,0.14,0.09
