created_at	average_wce	average_ca
2019-12-01	0.025094317142229174	0.043491544957364486
2019-12-02	0.12409402647485754	-0.031156806628783153
2019-12-03	0.03060656285037339	-0.0995540852423465
2019-12-04	0.13778429549905166	-0.06593527164488806
2019-12-05	0.08351973041180327	-0.01859240643419847
2019-12-06	0.0013511365494416805	-0.11253023723422573
2019-12-07	0.08152603023368865	-0.23535838287136884
2019-12-08	-0.07333897012130526	-0.044412980128410336
2019-12-09	0.183501878961029	0.15967510624591041
2019-12-10	0.03941427856601207	-0.06506142648724515
2019-12-11	0.08300712469864285	-0.2677325234494641
2019-12-12	0.22646459509488118	-0.1356901222315226
2019-12-13	0.14831629255604578	-0.006540497866578632
2019-12-14	0.1647463750890806	-0.2687926468713374
2019-12-15	0.12831389761262	-0.15473290473312643
2019-12-16	0.09149064034280989	0.022772063791850518
2019-12-17	0.14103430012018053	0.05544230579433029
2019-12-18	-0.08076948529722325	-0.0230306779618126
2019-12-19	-0.026708165388884354	-0.27359021549887497
2019-12-20	0.10235812286036973	-0.05373929033966256
2019-12-21	0.26032242330149113	-0.025307617173041443
2019-12-22	0.05194996872716722	0.025147838650477292
2019-12-23	0.026099726753779938	-0.09317372189454902
2019-12-24	-0.024600920545101084	-0.21365770029061595
2019-12-25	-0.011548804156944297	-0.3114590644998679
2019-12-26	-0.010816378549141682	-0.1171233440329395
2019-12-27	-0.046907160188569025	-0.2751193509839806
2019-12-28	-0.11805448225357004	-0.35930320372059044
2019-12-29	-0.033150801453917196	-0.15605043692269308
2019-12-30	0.09575874074063893	0.060514347206690515
2019-12-31	0.061926925013241	-0.1729816171898534
2020-01-01	-0.00993542035302429	0.026695265590039836
2020-01-02	-0.01637534540131782	-0.1496343299241608
2020-01-03	0.0057007045836541675	-0.09906223853008218
2020-01-04	0.10023620712783732	-0.2129259844028731
2020-01-05	0.18114531619124705	-0.33514140443950574
2020-01-06	0.15620768573332763	-0.24361191757620215
2020-01-07	0.2316671267727996	-0.07580295787230763
2020-01-08	0.03241852149227392	-0.19650728099056475
2020-01-09	0.047290042986892857	-0.09642022952032714
2020-01-10	0.03966405753547598	-0.08891329097163325
2020-01-11	-0.06303221153405834	0.026659095706744667
2020-01-12	0.03853131450916979	-0.31225519308105204
2020-01-13	0.04801168618394597	0.0014596843239822774
2020-01-14	0.027406215094978502	0.03311538997178587
2020-01-15	-0.013709229380686678	-0.1994775117434477
2020-01-16	0.08403623281053539	-0.11478166721848741
2020-01-17	0.20668805946127985	-0.05967734321311639
2020-01-18	-0.08453100799881237	-0.015515974385481019
2020-01-19	0.12371839814570086	-0.005156019403249819
2020-01-20	0.009923986122161511	-0.10836945776505656
2020-01-21	0.09740818525205083	-0.1038930752076162
2020-01-22	0.12380581712584582	0.03129571090523246
2020-01-23	0.05667038180756407	-0.0943073451145589
2020-01-24	0.14458923421436876	-0.017713099938611546
2020-01-25	0.16856194028842017	-0.04371092282364243
2020-01-26	0.027686611186043746	-0.0175377237029755
2020-01-27	0.1301080853329758	-0.01225618385533639
2020-01-28	-0.016262190100706526	-0.042630011016536226
2020-01-29	-0.03873927898489751	-0.20733339369389997
2020-01-30	0.034423508770863746	-0.15976939658687153
