Date	Average_WCE	Average_CA
2020-06-03	0.1273	0.0947
2020-06-04	-0.1451	0.0184
2020-06-05	-0.0670	0.0954
2020-06-06	0.1673	-0.3425
2020-06-07	-0.0146	0.0076
2020-06-08	0.1172	-0.0843
2020-06-09	0.3302	0.3209
2020-06-10	0.1559	0.1360
2020-06-11	0.3958	0.0291
2020-06-12	-0.1981	0.0926
2020-06-13	0.1372	-0.2309
2020-06-14	0.0304	-0.1773
2020-06-15	0.1169	-0.0400
2020-06-16	-0.1169	-0.1954
2020-06-17	0.0693	0.0056
2020-06-18	0.0315	-0.0726
2020-06-19	0.2966	-0.0233
2020-06-20	0.0603	0.3364
2020-06-21	0.3528	0.2889
2020-06-22	0.0998	0.0510
2020-06-23	0.0144	0.0167
2020-06-24	0.1481	-0.0577
2020-06-25	0.1014	0.1066
2020-06-26	0.1040	0.1544
2020-06-27	-0.1502	-0.3561
2020-06-28	-0.0407	-0.0474
2020-06-29	0.1298	-0.1570
2020-06-30	0.0630	0.2868
2020-07-01	0.1539	0.2631
2020-07-02	0.1234	0.2036
2020-07-03	0.1044	-0.2779
2020-07-04	0.2119	0.0006
2020-07-05	-0.0171	-0.0230
2020-07-06	0.1700	-0.0105
2020-07-07	0.1006	-0.2050
2020-07-08	-0.0852	-0.0385
2020-07-09	0.1202	-0.1023
2020-07-10	0.2240	0.4012
2020-07-12	0.0528	-0.1995
2020-07-13	0.3625	-0.1010
2020-07-14	0.1681	-0.0932
2020-07-15	0.0048	0.3877
2020-07-16	-0.0386	-0.2283
2020-07-17	0.1425	-0.0537
2020-07-18	0.6644	-0.0940
2020-07-19	0.3119	-0.2099
2020-07-20	0.2558	-0.0243
2020-07-21	0.3799	-0.2978
2020-07-22	0.0117	-0.3215
2020-07-23	0.0875	0.1721
2020-07-24	0.1660	0.2026
2020-07-25	nan	nan
2020-07-27	0.2758	-0.3260
2020-07-28	-0.1221	-0.1749
2020-07-29	0.1974	0.4381
2020-07-30	0.0446	-0.4837
2020-07-31	-0.0434	0.4192
2020-08-01	0.0826	0.5161
2020-08-02	0.3564	-0.1489
2020-08-03	0.3151	-0.0457
2020-08-04	0.1600	-0.2101
2020-08-05	-0.0502	-0.0717
2020-08-06	0.1671	-0.1606
2020-08-07	0.3294	0.0942
2020-08-08	0.3308	0.0036
2020-08-09	0.2439	0.0393
2020-08-10	-0.0205	-0.3544
2020-08-11	0.0138	0.0571
2020-08-12	-0.1475	-0.2450
2020-08-13	0.2204	-0.2295
2020-08-14	0.1630	-0.0315
2020-08-15	0.0630	-0.3190
2020-08-16	-0.0139	-0.0980
2020-08-17	-0.2966	-0.1166
