0.04,0.28,-0.08,0.25
0.18,0.25,-0.01,0.43
0.13,0.18,-0.11,0.21
0.06,0.19,-0.15,0.44
0.09,0.28,0.03,0.24
0.12,0.32,-0.01,0.15
0.19,0.10,0.03,0.23
0.21,0.33,-0.05,0.29
0.13,0.12,0.09,0.52
0.27,0.19,0.07,0.43
0.33,0.24,-0.05,0.28
0.14,0.34,-0.00,0.27
0.21,0.25,0.04,0.31
-0.01,0.23,-0.19,0.22
0.05,0.13,-0.23,0.16
0.07,0.25,-0.11,0.30
0.07,0.15,-0.06,0.18
0.04,0.17,-0.07,0.24
0.02,0.14,-0.02,0.43
0.18,0.17,0.12,0.20
0.10,0.22,0.08,0.26
0.20,0.40,-0.14,0.42
0.19,0.22,0.06,0.37
0.18,0.13,-0.09,0.22
0.02,0.18,-0.09,0.12
0.13,0.17,-0.19,0.38
0.11,0.16,-0.05,0.19
0.13,0.20,0.04,0.17
0.07,0.12,-0.02,0.18
0.10,0.15,0.03,0.20
0.11,0.08,0.04,0.22
0.09,0.12,0.00,0.21
0.19,0.25,-0.05,0.20
0.20,0.14,-0.08,0.23
0.07,0.15,0.06,0.44
0.23,0.15,-0.08,0.11
0.08,0.14,-0.15,0.17
0.11,0.21,-0.04,0.21
0.17,0.13,-0.01,0.22
0.11,0.10,-0.04,0.23
0.14,0.23,-0.06,0.14
0.26,0.16,0.07,0.24
0.32,0.24,0.12,0.15
0.29,0.26,-0.11,0.23
0.13,0.14,-0.11,0.25
0.03,0.20,0.01,0.23
0.13,0.14,-0.05,0.19
0.10,0.12,-0.05,0.13
0.06,0.08,-0.26,0.19
0.26,0.22,-0.19,0.18
0.22,0.17,0.03,0.13
0.24,0.16,-0.01,0.21
0.25,0.15,-0.04,0.23
0.17,0.15,0.01,0.13
0.14,0.11,-0.18,0.13
0.21,0.19,-0.06,0.17
0.33,0.17,-0.05,0.19
