Date	Average_WCE	Average_CA
2019-12-01	0.1192	0.2521
2019-12-02	0.1588	-0.0662
2019-12-03	0.1466	-0.0238
2019-12-04	-0.0203	-0.0723
2019-12-05	0.1467	-0.0261
2019-12-06	0.0227	0.1293
2019-12-07	0.1538	-0.1241
2019-12-08	-0.1653	-0.0487
2019-12-09	0.1781	0.0486
2019-12-10	-0.0671	-0.1218
2019-12-11	0.6645	0.0883
2019-12-12	0.1576	-0.1978
2019-12-13	0.1372	0.1111
2019-12-14	0.0827	-0.1398
2019-12-15	0.1952	-0.1850
2019-12-16	0.2185	0.1385
2019-12-17	0.1489	0.0326
2019-12-18	0.0143	-0.0014
2019-12-19	-0.0257	-0.2771
2019-12-20	-0.0342	-0.1620
2019-12-21	0.2923	0.2776
2019-12-22	-0.0312	0.1909
2019-12-23	0.1302	-0.0923
2019-12-24	-0.0808	-0.2989
2019-12-25	0.1647	-0.2873
2019-12-26	0.2139	-0.2551
2019-12-27	-0.1076	-0.1788
2019-12-28	-0.0880	-0.2638
2019-12-29	-0.1850	-0.0608
2019-12-30	0.1984	0.4003
2019-12-31	0.0993	-0.1297
2020-01-01	0.0720	0.0724
2020-01-02	-0.0688	0.0101
2020-01-03	0.0134	-0.1599
2020-01-04	0.1445	-0.2140
2020-01-05	0.2441	-0.2407
2020-01-06	0.2233	-0.2823
2020-01-07	0.3461	-0.3017
2020-01-08	0.0757	-0.1509
2020-01-09	-0.0381	-0.0209
2020-01-10	-0.0259	0.1779
2020-01-11	0.0219	0.2109
2020-01-12	-0.0562	-0.3119
2020-01-13	0.2430	0.0822
2020-01-14	0.2194	0.2970
2020-01-15	0.0097	-0.2706
2020-01-16	0.1901	0.0119
2020-01-17	0.3582	0.0453
2020-01-18	0.0531	-0.0717
2020-01-19	0.1835	-0.0176
2020-01-20	-0.0427	-0.0553
2020-01-21	0.0393	0.0189
2020-01-22	0.1062	0.1347
2020-01-23	0.1179	0.0374
2020-01-24	0.2185	0.0384
2020-01-25	0.3009	0.0246
2020-01-26	0.0301	0.1523
2020-01-27	0.1375	0.0409
2020-01-28	0.0062	0.0476
2020-01-29	-0.0044	-0.1641
2020-01-30	0.0801	-0.0451
2020-01-31	-0.1196	-0.0847
2020-02-01	-0.1383	-0.0320
2020-02-02	-0.1936	-0.2012
2020-02-03	0.0053	-0.0163
2020-02-04	0.0205	0.0990
2020-02-05	0.0483	0.0162
2020-02-06	-0.0806	-0.0945
2020-02-07	-0.0702	-0.1989
2020-02-08	-0.0332	-0.1584
2020-02-09	-0.0930	0.0359
2020-02-10	-0.0007	-0.1037
2020-02-11	0.0956	-0.1111
2020-02-12	0.0401	0.0211
2020-02-13	0.1248	-0.0940
2020-02-14	0.0122	-0.1658
2020-02-15	-0.2329	-0.1534
2020-02-16	0.1416	-0.0089
2020-02-17	0.0630	-0.0630
2020-02-18	-0.0100	-0.1912
2020-02-19	-0.1009	0.0924
2020-02-20	0.1142	0.0511
2020-02-21	0.1107	0.0476
2020-02-22	-0.0546	-0.3587
2020-02-23	-0.0224	-0.0900
2020-02-24	-0.0654	-0.0826
2020-02-25	-0.1227	-0.2275
2020-02-26	-0.0426	-0.2445
2020-02-27	0.0655	-0.0188
2020-02-28	-0.0135	-0.0075
2020-02-29	-0.1176	-0.1616
2020-03-01	-0.0586	0.1067
2020-03-02	-0.0495	-0.0193
2020-03-03	0.0757	0.0551
2020-03-04	-0.0342	-0.1086
2020-03-05	0.0212	-0.0228
2020-03-06	0.0280	0.1102
2020-03-07	0.1075	0.0424
2020-03-08	-0.0922	0.0151
2020-03-09	-0.0266	-0.0779
2020-03-10	0.0096	-0.0649
2020-03-11	0.0260	-0.0902
2020-03-12	0.0577	0.0615
2020-03-13	-0.0831	0.0767
2020-03-14	0.1452	0.1364
2020-03-15	0.0239	0.0042
2020-03-16	0.0669	0.0695
2020-03-17	-0.0660	-0.0209
2020-03-18	-0.0640	-0.0200
2020-03-19	-0.0580	0.0091
2020-03-20	-0.0655	-0.1075
2020-03-21	-0.0301	-0.0375
2020-03-22	0.0786	0.0066
2020-03-23	-0.0870	0.0257
2020-03-24	0.0209	0.0392
2020-03-25	-0.0610	-0.0253
2020-03-26	-0.0378	-0.0718
2020-03-27	-0.0177	-0.0447
2020-03-28	0.0072	0.1570
2020-03-29	-0.0139	0.1374
2020-03-30	0.0028	-0.1642
2020-03-31	0.0216	-0.0565
2020-04-01	-0.0549	-0.0499
2020-04-02	-0.0053	-0.0899
2020-04-03	0.0023	0.0227
2020-04-04	0.1678	-0.1304
2020-04-05	0.1746	0.0100
2020-04-06	0.0326	-0.0680
2020-04-07	0.0041	0.0011
2020-04-08	0.0076	0.1752
2020-04-09	0.1037	-0.0749
2020-04-10	-0.0969	-0.1776
2020-04-11	-0.0110	0.0456
2020-04-12	-0.0694	-0.0810
2020-04-13	0.0594	-0.0658
2020-04-14	-0.1550	-0.0801
2020-04-15	-0.0242	-0.1322
2020-04-16	-0.0789	-0.0681
2020-04-17	0.0185	0.0232
2020-04-18	0.0254	0.0484
2020-04-19	-0.1738	0.0013
2020-04-20	0.0699	-0.0570
2020-04-21	0.1766	-0.0415
2020-04-22	-0.0183	-0.0313
2020-04-23	0.0812	-0.0080
2020-04-24	0.0515	0.0342
2020-04-25	-0.0009	-0.0979
2020-04-26	0.1116	-0.0333
2020-04-27	0.1755	0.0493
2020-04-28	-0.0591	-0.0404
2020-04-29	-0.0184	-0.2279
2020-04-30	0.0665	-0.0164
2020-05-01	0.0088	0.1071
2020-05-02	-0.0574	-0.1334
2020-05-03	0.0477	-0.0206
2020-05-04	-0.0328	-0.0574
2020-05-05	0.1208	0.1551
2020-05-06	0.1099	-0.0800
2020-05-07	0.0371	0.0608
2020-05-08	0.0783	-0.0996
2020-05-09	0.1063	-0.0595
2020-05-10	0.0530	-0.1344
2020-05-11	0.0171	-0.1048
2020-05-12	0.0912	-0.0544
2020-05-13	0.1081	0.0947
2020-05-14	-0.0415	-0.0012
2020-05-15	0.0013	-0.1433
2020-05-16	0.0052	0.0473
2020-05-17	0.0023	-0.2234
2020-05-18	0.1256	-0.0357
2020-05-19	0.0442	-0.0643
2020-05-20	-0.0697	0.1877
2020-05-21	0.1752	-0.0345
2020-05-22	0.0321	0.0955
2020-05-23	0.4197	0.5369
