0.12,0.12,-0.07,0.11
0.12,0.15,-0.02,0.18
0.11,0.14,-0.07,0.25
0.09,0.16,-0.18,0.31
0.06,0.17,-0.07,0.19
0.05,0.20,-0.08,0.07
0.09,0.11,-0.11,0.18
0.17,0.10,-0.13,0.13
0.08,0.15,-0.19,0.21
0.15,0.08,-0.04,0.12
0.26,0.10,-0.05,0.10
0.10,0.11,-0.11,0.14
0.18,0.19,-0.03,0.16
0.09,0.16,-0.08,0.19
-0.01,0.09,-0.21,0.13
0.02,0.07,-0.16,0.18
0.11,0.14,-0.12,0.16
0.11,0.12,-0.12,0.25
0.07,0.08,-0.10,0.15
0.14,0.14,-0.07,0.10
0.10,0.14,-0.19,0.16
0.22,0.10,-0.16,0.17
0.13,0.07,-0.09,0.16
0.09,0.14,-0.15,0.06
0.05,0.11,-0.17,0.15
0.07,0.09,-0.24,0.22
-0.01,0.15,-0.11,0.15
0.06,0.09,-0.06,0.14
0.10,0.09,-0.07,0.10
0.11,0.07,-0.08,0.16
0.06,0.09,-0.09,0.14
0.08,0.03,-0.15,0.25
0.15,0.18,-0.18,0.09
0.10,0.13,-0.15,0.13
0.09,0.12,-0.17,0.12
0.13,0.15,-0.10,0.11
0.09,0.12,-0.17,0.16
0.09,0.14,-0.12,0.24
0.12,0.06,-0.12,0.19
0.09,0.08,-0.16,0.12
0.11,0.10,-0.15,0.16
0.24,0.12,0.00,0.20
0.23,0.14,-0.08,0.12
0.16,0.05,-0.14,0.15
0.15,0.09,-0.14,0.10
0.09,0.10,-0.08,0.21
0.11,0.11,-0.10,0.20
0.16,0.13,-0.03,0.15
0.15,0.10,-0.19,0.18
0.21,0.07,-0.12,0.06
0.19,0.06,-0.10,0.09
0.21,0.11,-0.08,0.15
0.15,0.07,-0.17,0.08
0.14,0.08,-0.06,0.14
0.16,0.07,-0.11,0.09
0.18,0.14,-0.10,0.05
0.19,0.10,-0.08,0.05
